,Event,Date
280,UFC 228: Woodley vs. Till,"Sep 8, 2018"
281,UFC Fight Night: Gaethje vs. Vick,"Aug 25, 2018"
282,UFC 227: Dillashaw vs. Garbrandt 2,"Aug 4, 2018"
283,UFC on Fox: Alvarez vs. Poirier 2,"Jul 28, 2018"
284,UFC Fight Night: Shogun vs. Smith,"Jul 22, 2018"
285,UFC Fight Night: dos Santos vs. Ivanov,"Jul 14, 2018"
286,UFC 226: Miocic vs. Cormier,"Jul 7, 2018"
287,The Ultimate Fighter: Undefeated Finale,"Jul 6, 2018"
288,UFC Fight Night: Cowboy vs. Edwards,"Jun 23, 2018"
289,UFC 225: Whittaker vs. Romero 2,"Jun 9, 2018"
290,UFC Fight Night: Rivera vs. Moraes,"Jun 1, 2018"
291,UFC Fight Night: Thompson vs. Till,"May 27, 2018"
292,UFC Fight Night: Maia vs. Usman,"May 19, 2018"
293,UFC 224: Nunes vs. Pennington,"May 12, 2018"
294,UFC Fight Night: Barboza vs. Lee,"Apr 21, 2018"
295,UFC on Fox: Poirier vs. Gaethje,"Apr 14, 2018"
296,UFC 223: Khabib vs. Iaquinta,"Apr 7, 2018"
297,UFC Fight Night: Werdum vs. Volkov,"Mar 17, 2018"
298,UFC 222: Cyborg vs. Kunitskaya,"Mar 3, 2018"
299,UFC on Fox: Emmett vs. Stephens,"Feb 24, 2018"
300,UFC Fight Night: Cowboy vs. Medeiros,"Feb 18, 2018"
301,UFC 221: Romero vs. Rockhold,"Feb 11, 2018"
302,UFC Fight Night: Machida vs. Anders,"Feb 3, 2018"
303,UFC on Fox: Jacaré vs. Brunson 2,"Jan 27, 2018"
304,UFC 220: Miocic vs. Ngannou,"Jan 20, 2018"
305,UFC Fight Night: Stephens vs. Choi,"Jan 14, 2018"
306,UFC 219: Cyborg vs. Holm,"Dec 30, 2017"
307,UFC on Fox: Lawler vs. dos Anjos,"Dec 16, 2017"
308,UFC Fight Night: Swanson vs. Ortega,"Dec 9, 2017"
309,UFC 218: Holloway vs. Aldo 2,"Dec 2, 2017"
310,The Ultimate Fighter: A New World Champion Finale,"Dec 1, 2017"
311,UFC Fight Night: Bisping vs. Gastelum,"Nov 25, 2017"
312,UFC Fight Night: Werdum vs. Tybura,"Nov 19, 2017"
313,UFC Fight Night: Poirier vs. Pettis,"Nov 11, 2017"
314,UFC 217: Bisping vs. St-Pierre,"Nov 4, 2017"
315,UFC Fight Night: Brunson vs. Machida,"Oct 28, 2017"
316,UFC Fight Night: Cowboy vs. Till,"Oct 21, 2017"
317,UFC 216: Ferguson vs. Lee,"Oct 7, 2017"
318,UFC Fight Night: Saint Preux vs. Okami,"Sep 23, 2017"
319,UFC Fight Night: Rockhold vs. Branch,"Sep 16, 2017"
320,UFC 215: Nunes vs. Shevchenko 2,"Sep 9, 2017"
321,UFC Fight Night: Volkov vs. Struve,"Sep 2, 2017"
322,UFC Fight Night: Pettis vs. Moreno,"Aug 5, 2017"
323,UFC 214: Cormier vs. Jones 2,"Jul 29, 2017"
324,UFC on Fox: Weidman vs. Gastelum,"Jul 22, 2017"
325,UFC Fight Night: Nelson vs. Ponzinibbio,"Jul 16, 2017"
326,UFC 213: Romero vs. Whittaker,"Jul 8, 2017"
327,The Ultimate Fighter: Redemption Finale,"Jul 7, 2017"
328,UFC Fight Night: Chiesa vs. Lee,"Jun 25, 2017"
329,UFC Fight Night: Holm vs. Correia,"Jun 17, 2017"
330,UFC Fight Night: Lewis vs. Hunt,"Jun 11, 2017"
331,UFC 212: Aldo vs. Holloway,"Jun 3, 2017"
332,UFC Fight Night: Gustafsson vs. Teixeira,"May 28, 2017"
333,UFC 211: Miocic vs. dos Santos 2,"May 13, 2017"
334,UFC Fight Night: Swanson vs. Lobov,"Apr 22, 2017"
335,UFC on Fox: Johnson vs. Reis,"Apr 15, 2017"
336,UFC 210: Cormier vs. Johnson 2,"Apr 8, 2017"
337,UFC Fight Night: Manuwa vs. Anderson,"Mar 18, 2017"
338,UFC Fight Night: Belfort vs. Gastelum,"Mar 11, 2017"
339,UFC 209: Woodley vs. Thompson 2,"Mar 4, 2017"
340,UFC Fight Night: Lewis vs. Browne,"Feb 19, 2017"
341,UFC 208: Holm vs. de Randamie,"Feb 11, 2017"
342,UFC Fight Night: Bermudez vs. The Korean Zombie,"Feb 4, 2017"
343,UFC on Fox: Shevchenko vs. Peña,"Jan 28, 2017"
344,UFC Fight Night: Rodríguez vs. Penn,"Jan 15, 2017"
345,UFC 207: Nunes vs. Rousey,"Dec 30, 2016"
346,UFC on Fox: VanZant vs. Waterson,"Dec 17, 2016"
347,UFC 206: Holloway vs. Pettis,"Dec 10, 2016"
348,UFC Fight Night: Lewis vs. Abdurakhimov,"Dec 9, 2016"
349,The Ultimate Fighter: Tournament of Champions Finale,"Dec 3, 2016"
350,UFC Fight Night: Whittaker vs. Brunson,"Nov 27, 2016"
351,UFC Fight Night: Bader vs. Nogueira 2,"Nov 19, 2016"
